Unnamed: 0,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference,date
10222,54521,116.98,39.7,2003,1,1,1.058809,1.050142872,-0.008666128,2003/1/1
13454,54627,117.23,38.03,2003,1,6,1.037539,1.043025858,0.005486858,2003/1/6
3862,53798,114.37,37.18,2003,1,10,2.39869,2.309121779,-0.089568221,2003/1/10
8970,54499,116.22,40.22,2003,1,16,1.975298,1.625002042,-0.350295958,2003/1/16
22696,54940,119.2,35.75,2003,1,26,3.393924,2.743623175,-0.650300825,2003/1/26
13521,54628,117.48,38.15,2003,1,31,1.839071,1.905604778,0.066533778,2003/1/31
21044,54909,115.52,35.08,2003,2,7,3.190216,3.566726742,0.376510742,2003/2/7
719,53498,115.03,40.57,2003,2,10,0.59051,0.92251948,0.33200948,2003/2/10
25567,58027,117.15,34.28,2003,2,22,4.783474,4.555007707,-0.228466293,2003/2/22
20297,54857,120.33,36.07,2003,2,25,4.673822,4.604261326,-0.069560674,2003/2/25
24275,58003,115.88,34.95,2003,3,10,3.413372,3.609017847,0.195645847,2003/3/10
9456,54507,115.52,39.33,2003,3,16,3.753732,3.517091522,-0.236640478,2003/3/16
9168,54502,116.03,39.48,2003,3,31,5.606753,5.671222674,0.064469674,2003/3/31
23397,57089,113.93,34.07,2003,4,7,5.937077,6.736851371,0.799774371,2003/4/7
2244,53694,114.22,38.27,2003,4,10,4.638049,4.634603383,-0.003445617,2003/4/10
21731,54918,116.97,35.6,2003,4,23,6.888785,7.050571316,0.161786316,2003/4/23
8254,54431,116.75,39.85,2003,4,26,7.257575,6.647967808,-0.609607192,2003/4/26
14662,54708,115.73,37.5,2003,5,2,8.963791,8.939551336,-0.024239664,2003/5/2
24686,58011,116.07,34.8,2003,5,8,5.797736,5.755893863,-0.041842137,2003/5/8
10199,54520,117.08,39.97,2003,5,19,9.129417,8.498616395,-0.630800605,2003/5/19
18478,54823,117,36.6,2003,5,21,9.122018,9.583819869,0.461801869,2003/5/21
17729,54811,116.62,36.93,2003,5,29,13.932354,13.14736132,-0.784992682,2003/5/29
5876,53985,113.82,35.5,2003,6,8,11.400998,11.8698465,0.468848505,2003/6/8
20132,54852,120.73,36.97,2003,6,20,15.001808,15.05965371,0.057845707,2003/6/20
