id,R2,MAE,RMSE,lon,lat
53481,0.978513224,0.517669264,0.744555663,113.22,40.8
53483,0.981056586,0.505458661,0.730352207,113.83,40.87
53484,0.980413567,0.528482147,0.762895004,113.15,40.45
53486,0.982727681,0.530255483,0.761736607,113.77,40.37
53487,0.982398542,0.518418427,0.759223684,113.42,40.08
53488,0.981263958,0.542361782,0.780419163,113.58,40.03
53490,0.982153404,0.546657226,0.785075,114.05,40.43
53491,0.981167541,0.581964169,0.866409153,114.38,40.68
53492,0.9831513,0.536490568,0.781691925,114.15,40.1
53498,0.984550216,0.579202661,0.842545342,115.03,40.57
53499,0.983045874,0.552262134,0.805621298,114.73,40.77
53580,0.976810494,0.592662685,0.858661014,113.1,39.82
53582,0.980614419,0.540688531,0.782547012,113.67,39.72
53584,0.979303493,0.567124578,0.819828181,113.17,39.57
53585,0.980301307,0.645949017,0.905642521,113.27,39.17
53590,0.98404287,0.518256149,0.754924094,114.27,39.75
53593,0.982496409,0.556504775,0.799323048,114.57,39.83
53594,0.984069296,0.571258541,0.839104476,114.18,39.45
53596,0.988213967,0.663139893,0.936324357,115.13,38.85
53599,0.982690308,0.608605385,0.863231666,114.68,39.37
53680,0.983875588,0.731800128,1.030822272,114.38,38.3
53681,0.981028998,0.596210603,0.825952506,113.37,38.83
53682,0.987178869,0.714186567,1.004478938,114.68,38.63
53685,0.983676816,0.590361459,0.830394722,113.42,38.07
53687,0.982817978,0.639186535,0.89670822,113.63,37.78
53688,0.985757354,0.725522757,1.024806052,114.55,38.42
53689,0.98876235,0.629544796,0.869891126,115.07,38.02
53690,0.977797408,0.829203362,1.199298616,114.18,38.85
53691,0.98705318,0.658188224,0.920841542,114.57,38.15
53692,0.988564196,0.65849038,0.922617806,114.98,38.73
53693,0.984269989,0.688767822,0.960120724,114.13,38.03
53694,0.985302543,0.701983104,0.990249649,114.22,38.27
53695,0.986433196,0.691180337,0.967393491,114.68,38.35
53696,0.988919773,0.633513395,0.901986374,115.02,38.55
53697,0.988192999,0.646469434,0.918344109,114.83,38.03
53698,0.98521375,0.712537482,0.983353782,114.35,38.07
53699,0.9885395,0.652667874,0.896566176,114.95,38.18
53773,0.985713724,0.688657981,0.944417677,114.62,36.33
53780,0.982197952,0.609515647,0.855083353,113.15,37.9
53781,0.988958974,0.645093367,0.90670111,114.47,36.87
53782,0.981671913,0.663044413,0.925109191,113.62,37.93
