station,id,lat,lon
1,53481,40.8,113.22
2,53483,40.87,113.83
3,53484,40.45,113.15
4,53486,40.37,113.77
5,53487,40.08,113.42
6,53488,40.03,113.58
7,53490,40.43,114.05
8,53491,40.68,114.38
9,53492,40.1,114.15
10,53498,40.57,115.03
11,53499,40.77,114.73
12,53580,39.82,113.1
13,53582,39.72,113.67
14,53584,39.57,113.17
15,53585,39.17,113.27
16,53588,38.95,113.52
17,53590,39.75,114.27
18,53593,39.83,114.57
19,53594,39.45,114.18
20,53596,38.85,115.13
21,53599,39.37,114.68
22,53680,38.3,114.38
23,53681,38.83,113.37
24,53682,38.63,114.68
25,53685,38.07,113.42
26,53687,37.78,113.63
27,53688,38.42,114.55
28,53689,38.02,115.07
29,53690,38.85,114.18
30,53691,38.15,114.57
31,53692,38.73,114.98
32,53693,38.03,114.13
33,53694,38.27,114.22
34,53695,38.35,114.68
35,53696,38.55,115.02
36,53697,38.03,114.83
37,53698,38.07,114.35
38,53699,38.18,114.95
39,53773,36.33,114.62
40,53780,37.9,113.15
41,53781,36.87,114.47
42,53782,37.93,113.62
43,53783,37.6,113.72
44,53784,37.75,114.78
45,53785,37.52,114.67
46,53786,37.08,113.33
47,53788,37.33,113.57
48,53789,37.88,114.63
49,53790,37.63,114.6
50,53791,37.8,114.5
51,53792,37.45,114.48
52,53794,37.35,114.75
53,53795,37.65,114.4
54,53796,37.62,114.88
55,53797,37.28,114.38
56,53798,37.18,114.37
57,53799,37.23,115
58,53878,36.52,113.38
59,53880,36.33,113.23
60,53882,36.07,113.03
61,53883,37.13,114.7
62,53884,36.52,113.03
63,53885,36.12,113.2
64,53886,36.57,113.67
65,53888,36.2,113.43
66,53889,36.07,113.87
67,53890,36.67,114.1
68,53891,37.02,114.68
69,53892,36.62,114.47
70,53893,36.77,114.95
71,53894,36.4,114.2
72,53895,36.75,114.45
73,53896,36.33,114.95
74,53897,36.4,114.35
75,53898,36.05,114.13
76,53899,36.48,114.97
77,53974,35.6,114.23
78,53979,35.15,113.08
79,53980,36.55,114.8
80,53981,35.78,113.27
81,53982,35.23,113.27
82,53983,35.03,114.42
83,53984,35.23,113.47
84,53985,35.5,113.82
85,53986,35.32,113.88
86,53987,35.1,113.35
87,53988,35.27,113.67
88,53989,35.08,113.98
89,53991,35.92,114.33
90,53992,35.65,114.52
91,53993,35.93,114.92
92,53994,35.38,114.07
93,53995,35.55,114.5
94,53996,36.45,114.65
95,53997,35.15,114.18
96,53998,35.2,114.65
97,54304,40.95,115.27
98,54398,40.13,116.62
